Company_name,URL,company_head,founded_year,location,model,contact
bettermarks,http://de.bettermarks.com,"Arndt Kwiatkowski, Marianne Voigt",2008,Berlin,Online-Lernsystem für Mathematik,
betterplace gemeinn?tzige Stiftungs-GmbH,http://www.betterplace.org,Till Behnke,2007,Berlin,Internetplattform für soziale Projekte,change@betterplace.org
BetterTec GmbH,https://www.bettertaxi.de,Hanno Beisinghoff,2012,München,,
Bigpoint GmbH (ehemals e-sport),http://www.bigpoint.com,Heiko Hubertz,2002,Hamburg,Browsersspiele,info@bigpoint.com
"BillingEngine, Kleemann & Kleemann GbR",http://www.billingengine.com,Timo Kleemann,2015,Hamburg,Web-basiertes Rechnungstool,
Billomat GmbH & Co. KG,http://www.billomat.com,Simon St?cher,2007,Herdorf,Web-basiertes Rechnungstool,info@billomat.com
Billpay GmbH,https://www.billpay.de/,"Nelson Holzner, Thies Rixen",,Berlin,Zahlungsdienstleister,kontakt@billpay.de
Blacklane GmbH,https://www.blacklane.com/,"Jens Wohltorf, Frank Steuer",2012,Berlin,Chauffeurservice-Portal,info (a) blacklane.com
Blogwerk AG,http://www.blogwerk.com,Peter Hogenkamp,2006,Z?rich,Blog-Netzwerk,
blooWorks – Bastian Flemming & Michael Schran GbR,http://www.seekfreed.de,"Bastian Flemming, Michael Schran",2007,Berlin,Preisvergleich,info@seekfreed.de
BlooWorks – Bastian Flemming und Michaelk Schran GbR,http://www.fitnessvergleich.de,Bastian Flemming und Michael Schran,2007,Berlin,Preisvergleich speziell f?r den Fitnessbereich,flemming@fitnessvergleich.de
Blue Lion mobile GmbH,http://www.qeep.de/,"Cornelius Rost, Christian R. Schulte",2006,Köln,Mobiles Social Network,info@bluelionmobile.com
boatoon GmbH,http://www.boatoon.com/,Torben Knappe,2010,Berlin,Wassersportportal,info@boatoon.com
Bonuswelt24.com,http://www.bonuswelt24.com,,2010,Berlin,Online-Gutschein-Portal,
BookRix GmbH & Co. KG,http://www.bookrix.de,"Constantin Papst, Alex Racic, Zeljko Marsic, Christian Vinc",2008,M?nchen,Literatur-Plattform,kontakt-de@bookrix.com
Bookya GmbH,http://www.bookya.de,"Julian Bez, Norman Egli",2007,Berlin,Online-Marktplatz f?r studentische B?cher,norman@bookya.de
Brain Injection Ltd. & Co. KG,http://www.meinanteil.de/,Klemens Skibicki; Frank M?hlenbeck,2008,K?ln,Online Bonusprogramm,info@brain-injection.com
BrainSpace GmbH,http://www.roodle.de/,Andreas Fuchs,2008,Bad Saulgau,Foto-Community,info@brain-space.de
Brick Spaces GmbH,http://www.brickspaces.de,"Marc Selicke, Johannes Hauswald",2014,Düsseldorf,Vermittlung von Pop Up-Mietflächen & Realisierung von Pop Up-Stores,
Brille24 GmbH,http://www.brille24.de/,Matthias Hunecke,2008,Oldenburg,Online-Optiker für Brillen,
brizk design,http://www.globalzoo.de/,Kai Brach,2007,Auersmacher,Reise-Community,info@globalzoo.de
buecher.de GmbH & Co. KG (fr?her booxtra GmbH & Co. KG),http://www.buecher.de/,Gerd Robertz,1999,Augsburg,Online-Medien-Shop,
Bummerl GmbH,http://www.bummerl.at/,"Philipp Markovics, Martin Kavalar",2010,"Wien, Berlin",Schnapsen-Online-Game,
Business Net Partners GmbH,http://www.sugartrends.com/,"Christian Schwarzkopf, Tim Lagerpusch",2013,"Köln, Lissabon",E-Commerce,contact@sugartrends.com
BusinessLive GmbH,https://www.businesslive.de,Arndt Salzburg,2007,M?nchen,Plattform für Karrieremanagement und Expertenaustausch,info@businesslive.de
BuyVIP GmbH,http://www.buyvip.com,Gustavo Garc?a  Brusilovsky,2006,"Frankfurt, Madrid",Shopping-Community,
CA Customer Alliance GmbH,http://www.customer-alliance.com,Moritz Klussmann,2009,Berlin,SaaS-Lösung für Hotelbewertungen,
Caleido AG,http://www.wua.la/,"Dominik Grolimund, Luzius Meisser",2007,Z?rich,Dezentrale Online-Festplatte,
Callido AG,http://dealers-planet.de/,Matthias Wagner,2013,Hameln,,info@dealers-planet.de
Campusjäger GmbH,https://www.campusjaeger.de/ ,"Martin Trenkle, Jannik Keller, Matthias Geis",2013,Karlsruhe,,support@campusjaeger.de
CaptchaAd GmbH,http://www.captchaad.com/,Jan Philipp Hinrichs,2008,M?nchen,Captcha-Advertising,info@captchaad.com
Carbon Logistics GmbH,http://sportics.net,Frank Knobloch,2009,Kassel,"Tracken, Planen, Auswerten von Sportdaten",
care&click e.V.,http://www.care-and-click.org,Gregor von dem Knesebeck (Vorsitzender),2007,M?nchen,Charity-Plattform,projects@care-and-click.org
CareerMee GmbH,http://www.careermee.com,"Florian Behn, Benjamin Pochhammer",2008,Berlin,Job-Plattform für Studenten und Absolventen von Elite-Universitäten,
cargonexx GmbH,,"Rolf-Dieter lafrenz, Andreas Karanas",2016,Hamburg,Plattform für vernetzte intelligente Mobilität; digitale Spedition,hallo@cargonexx.de
Carmio Internet GmbH,http://www.carmio.de/,"Nikolai Roth, Cord-Christian Nitzsche",2010,Hamburg,Autoteile-Preisvergleich,info@carmio.de
Caroo GmbH,http://caroo.de/,"Sabine D?rr, Thiemo Bubel",2009,K?ln,Neuwagenportal mit Konfigurator,info@caroo.de
carpooling.com GmbH (ehemals Mikini Media),http://www.carpooling.com/,"Michael Reinicke, Matthias Siedler, Stefan Weber",2006,M?nchen,Mitfahrvermittlung,
Carsablanca GmbH,http://www.carsablanca.de/,Robert Kocher,2007,Hamburg,Oldtimer-Community,office@carsablanca.de
Casacanda,http://www.casacanda.de,"Roman Kirsch, Christian Tiessen, Sascha Weiler",2011,Berlin,Shopping Club,contact@casacanda.com
caseable GmbH,http://www.caseable.de,"Klaus Wegener, Marvin Amberg",2010,"Berlin, Brooklyn",Individuelle Notebooktaschen,hello@caseable.de
CashBits GmbH & Co. KG,http://www.cashbits.de/,"Moritz Corbelin, Anna Lena S?nnichsen",2010,Hamburg,Cashback-System,
cast2gether media GmbH,http://www.cast2gether.de,Dusko Tomov,2008,D?sseldorf,Online-Castingdienst,info@cast2gether.de
castaclip,http://www.castaclip.com,"Ekow Yankah, Philip Romberg",2010,Potsdam,Vertriebsnetzwerk für Online-Videos,info@castaclip.com
Catkin GmbH,,,,Dortmund,,
"Causemann, Michael und Causemann, Nicole GbR",http://www.picturidoo.de/,"Nicole Causemann, Michael Causemann",2011,Langen,Kunstplattform,info@picturidoo.de
Cavi Int. GmbH,http://www.cavi.tv/,"Dominik Reisig, Michael Breyer",2008,Hamburg,InVideo-Shopping,info@cavi.tv
Chal-Tec GmbH,http://chal-tec.com/,Peter Chaljawski,2005,Berlin,E-Commerce,
CheckYourImage GmbH,http://www.checkyourimage.com/,"Robert H?rmann, Rolf Janka",2008,M?nchen,Imagetest-Dienst,info@checkyourimage.de
Chefgourmet CGG GmbH,http://www.chefgourmet.de/,Christian Mager,2010,Hamburg,Online-Lebensmittel,
Cheng & Heyer GbR,http://www.cultureload.net,"Sao-Wen Cheng, Dominik Heyer",2007,Siegen,Martkplatz für Kulturschaffende,info@cultureload.net
Chili Entertainment GmbH,http://www.gamepn.com/,Matthias Emmert,2007,Frankfurt am Main,Gamer-Community,
chocri GmbH,http://www.chocri.de/,"Michael Bruck, Franz Duge",2008,Berlin,Online-Shop für individuelle Schokolade und Eis,info@chocri.de
Circle Products GmbH,http://www.coffeecircle.com/,"Martin Elwert, Robert Rudnick, Moritz Waldstein-Wartenberg",2010,Berlin,Online-Shop für Kaffee,kontakt@coffeecircle (punkt)com
click your pic UG,http://www.clickyourpic.de,Konstantin Kutzer,2009,Berlin,Biometrische Passfotos und einfache Bewerbungsfotos mit Hilfe der Webcam selbst erstellen,info@clickyourpic.de
clicks4charity GbR,http://www.clicks4charity.net,"F. Barth, N. F?hr, K. Kantenwein, O. M?hlenbein, T. Suren, S. Widmaier, R. Wi?mann",2008,M?nchen,Charity-Plattform,info@clicks4charity.net
clickworker GmbH,https://www.clickworker.de,Christian Rozsenich,2005,Essen,Anbieter von Crowdsourcing-Lösungen und -Services in den Bereichen Contenterstellung und Datenrecherche,presse@clickworker.com
Clipdealer GmbH,http://www.clipdealer.de,Markus Hein,2007,M?nchen,Marktplatz für lizenzfreie Clips,m.hein@clipdealer.de
clipkit GmbH,http://www.clipkit.de/,"Cengiz Kurt, Mathias Bl?m",2008,Berlin,Video-Vermarkter,kontakt@clipkit.de
Cliplister GmbH,http://www.cliplister.com,"Ali Gürler, Sören Schulze",2007,Kiel,Produkt-Videos für Online-Shops,kontakt@cliplister.com
clipscale GmbH,http://www.clipscale.de/,"Raphael Pochhammer, Dominic Zimmermann, Philipp Solf",2010,Berlin,Bewegtbildvermarkter,info@clipscale.de
cloudControl,http://www.cloudcontrol.de,Philipp Strube,2009,Potsdam,Cloud Hosting Platform as a Service,info@cloudcontrol.de
cloudnumbers.com GmbH,http://cloudnumbers.com,"Markus Fensterer, Moritz von Petersdorff-Campen, Erik Muttersbach",2010,Berlin,High Performance Computing (HPC),info@cloudnumbers.com
cloudplan GmbH,http://www.cloudplan.net/,"Frank Brügmann, Matthias Krueger",2014,Hamburg,Next-gen intelligent file Sync & Share,Info@cloudplan.net
CloudSafe GmbH,https://www.cloudsafe.com/,Roberto Valerio,2009,Hamburg,Plattform zur Ablage und zum Austausch von sensiblen Informationen,
ClubPort GmbH,http://www.meinverein.de,"Max Fischer, Axel Kmonitzek",2007,Hamburg,Verwaltungsdienst f?r Vereine,info@meinverein.de
CNM Ltd. & Co KG,http://www.youmato.com/,Benjamin Roh,,Berlin,Social Network,berlin@cnewmedia.com
CoboCards GmbH,http://www.cobocards.com/,"Tamim Swaid, Jamil Soufan, Ali Yildirim",2009,,E-Learning,
CODE-No.com GmbH,http://www.code-no.com,Markus J. Krechting,2008,Frankfurt am Main,Produkt-Brandmarker,info@code-no.com
Cogeon GmbH,http://math-42.com/,Thomas Nitsche,,Berlin,Mathe-App,
Collective IQ Limited,http://www.netjobbing.de,"Nils Dreyer, Arne Stoschek",2007,D?sseldorf,Marktplatz f?r Freiberufler,kontakt@netjobbing.de
ComeUnited.Com,http://www.comeunited.com/,Marcel Kaffenberger,2007,Hamburg,Kontakt- und Kommunikationsplattform im Bereich Entertainment und Medien,info@comeunited.com
Community Center GmbH (vormals Lotum GmbH),http://www.schueler.cc/,"Dominik Anders, Martin Reichard, Sebastian Schmitt, Jens Abke",2007,Reichelsheim,Schüler-Community,info@schueler.cc
complex GmbH – Flockshots.de,http://flockshots.de,Peter Bienek,2009,Berod,Fotoplattform,info@flockshots.de
comuvo GbR,https://comuvo.com/de,,,Würzburg,Vermittlungsplattform für Gesundheits- & Fitnessangebote,contact@comuvo.com
Comventure GmbH,http://www.esando.de/,"Frank M?ller, Tobias Kindlieb",2008,Ludwigshafen,Arztsuche und -bewertung,
Conferendum GmbH,http://www.conferendum.com/,Wolfgang Berger,2009,M?nchen,Online-Schulungen und Seminare,info@conferendum.com
connectr GbR,http://www.cashpeople.de,Jens Lange & Heiko Ramaker,2008,Schm?lln-Putzkau,"Social Network f?r Webmaster, Affiliates und Programmierer",jens@mkl-service.com
construktiv GmbH,http://www.scouty.de,Kai Tietjen,2007,Bremen,Nachrichten- und Blogsuchmaschine,info@construktiv.de
construktiv GmbH / Mister Wong,http://www.mister-wong.de,Kai Tietjen,2006,Bremen,Online-Lesezeichen-Verwaltung. Finanzierung ?ber Werbung.,cc@construktiv.de
Contigua GmbH,http://www.10stamps.de/,"Arash Houshmand, Markus Eichinger, Harald Siebenweiber,  Felix Baaken",2011,München,Mobile Kundenbindung,info@contigua.de
Contilla GmbH,http://www.contilla.de,"René Kühn, Christoph Teubert",2009,Köln,Content-Marketing-Technologie und -Netzwerk,info@contilla.de
contractix GmbH,http://www.contractix.de,"Alexander Kluge, Harald Fett",2011,Berlin,Organisation von Verträgen,info@contractix.de
cooee GmbH,http://de.clubcooee.com,"Alexander Jorias, Ingo Frick",2007,Kaiserslautern,3D-Plattform für Jugendliche,info@clubcooee.com
coolhomes GmbH & Co. KG,http://www.coolhomes.de,Tanja Nordhaus,2008,M?nchen,Wohnportal,info@coolhomes (de) de
Corinna Busch und Reinhard Schmidt GbR,http://www.stargebot.de,,2007,Bonn,Charity-Auktionshaus,busch@stargebot.de
Cosmotourist GmbH,http://www.cosmotourist.de/,"Constantin Wunn, Frederik M. Kraus",2006,M?nchen,Reisecommunity,info-de@cosmotourist.net
Coupies GmbH,http://www.coupies.de/,Frank Schleimer,2009,Köln,Marktplatz für Mobile-Couponing,team@coupies.de
COUPONS4U GmbH,https://www.coupons4u.de/,Torsten Latussek,2004,Chemnitz,Gutscheindienst,
Coutie GmbH,http://www.houserocker.com,Jan Reimann,2008,Kornwestheim,Exklusiver Online-Shop,mail@houserocker.com
Covomo Versicherungsvergleich GmbH,http://www.covomo.de,"Karl Dieterich, Simon Nörtersheuser",2015,,Online Reiseversicherungs-Plattform,info@covomo.de
Creative Shopping GmbH,https://www.creative-shopping.com/,Harald Meurer,2014,Köln,Entwicklung und Betrieb von SaaS-Portalen im Bereich der Vorteilsprogramme,Kontakt@creative-shopping.com
creativespot GmbH,http://www.dogspot.de/,"J?rgen Dorner, Tobias Zundel",2007,Karlsruhe,Hunde-Community,mail@creativespot.de
CrownCrow GmbH & Co. KG,http://www.crowncrow.com/,Alexander Rabe,2008,Berlin,Shop- und Designdienst,info@crowncrow.com
Cumonian GmbH,http://www.bazaaria.com,Paul Piper,2007,Heuchelheim,Tauschplattform,paul@bazaaria.com
cupcakemixer GbR,http://www.cupcakemixer.de,"David Swadzba, Christoph Motal",2013,Passau,Online Cupcake-Versand für hochwertige Cupcakes frei von Zusatzstoffen.,info@cupcakemixer.de
CupoNation GmbH,http://www.cuponation.de,"Gerhard Trautmann, Adrian Renner, Andreas Fruth",2012,München,Gutscheinplattform,info@cuponation.com
cusoon media gmbh,http://www.cusoon.at,"Peter Krammer, Manfred Schmelzer, Robert Schmelzer",2007,Wien,Online-Plattform mit dem Schwerpunkt Freizeitaktivit?ten,robert@cusoon.com
CyberConsult GmbH,http://www.nandoo.net/,Jens Landvogt,,Potsdam,Text-Verstehmaschine,info@nandoo.net
Cyberport GmbH,http://www.cyberport.de/,"Fritz Oidtmann, Olaf Siegel",1998,Dresden,"Online-Shop f?r Computertechnik, Unterhaltungselektronik und digitale Medien",info@cyberport.de
DailyDeal GmbH,http://dailydeal.de/,"Graham Law, Matthew Scott Sucherman",2009,Berlin,Couponingdienst,info@dailydeal.de
dailyme TV GmbH,http://www.dailyme.tv,Holger Schween,2007,Berlin,Handy-TV-Plattform,kontakt@dailyme.tv
damandi.de GbR,http://damandi.de,"Andreas Engler, Sabine Jentsch, Mathias Walther",2008,Leipzig,Werbeplattform für Unterkünfte aller Art.,
Daniel Minini NewYouth GmbH,http://www.dugg.de/,Daniel Minini,2007,Dortmund,Social Network f?r Jugendliche,
DatenDesign Deutschland GmbH,http://www.MeineSammlung.de,Alexander Rockmann,2008,Augsburg,Sammler-Netzwerk,a.rockmann@meinesammlung.de
